dis_reg;dis_nombre;fec_codigo;fec_dia;fec_semana;prod_nombre;prod_n2;prod_n3;prod_n3_clase;prod_prov_nombre;inv_valor;inv_cantidad;inv_dias_venta;inv_cantidad_venta
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0015;LAVALOZA;HOGAR;A;Proveedor 004;704057;740;90;8191
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0016;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;12953337;4348;90;7286
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0017;ACEITES Y MANTECAS;ALIMENTOS;A;Proveedor 001;2730788;570;90;6114
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0018;WHISKY;LICORES Y TABACO;A;Proveedor 002;340717486;7986;90;5858
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0019;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;1591481;712;90;5684
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0020;VODKA;LICORES Y TABACO;A;Proveedor 002;147358530;3459;90;5516
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0021;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;29753327;5026;90;5267
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0022;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;4215550;1006;90;5263
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0023;WHISKY;LICORES Y TABACO;A;Proveedor 002;292523259;3173;90;5186
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0024;JABON EN BARRA;HOGAR;A;Proveedor 004;4427982;2942;90;5081
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0025;DESMANCHADORES;HOGAR;A;Proveedor 006;5309312;1937;90;4838
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0026;TEQUILA;LICORES Y TABACO;A;Proveedor 002;143901770;3022;90;4660
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0027;WHISKY;LICORES Y TABACO;A;Proveedor 002;54313787;1887;90;4309
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0028;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;4142042;975;90;4174
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0029;WHISKY;LICORES Y TABACO;A;Proveedor 002;38161519;1698;90;3670
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0030;MULTIVITAMINICOS;OTC;B;Proveedor 007;3399230;337;90;3644
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0031;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;2493284;970;90;3483
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0032;DESMANCHADORES;HOGAR;A;Proveedor 006;1882345;1372;90;3423
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0033;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;3146351;1848;90;3405
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0034;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;10008963;1489;90;3394
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0035;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;3186975;1524;90;3359
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0036;DESMANCHADORES;HOGAR;A;Proveedor 006;5125509;1870;90;3276
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0037;ASEO MECANICO;HOGAR;A;Proveedor 003;588551;184;90;3095
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0038;COLORACION;CUIDADO PERSONAL;A;Proveedor 005;7582081;1158;90;2915
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0039;JABON EN BARRA;HOGAR;A;Proveedor 004;479719;582;90;2729
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0040;WHISKY;LICORES Y TABACO;A;Proveedor 002;45733574;4071;90;2711
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0041;VODKA;LICORES Y TABACO;A;Proveedor 002;1607062;384;90;2669
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0042;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;4366291;1693;90;2628
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0043;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;3815116;1484;90;2617
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0044;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;3101048;1217;90;2582
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0045;WHISKY;LICORES Y TABACO;A;Proveedor 002;152827644;973;90;2513
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0046;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;195008;62;90;2489
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0047;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;4198232;993;90;2361
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0048;CREMAS DENTALES;CUIDADO PERSONAL;A;Proveedor 007;10572986;677;90;2321
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0049;JABON EN BARRA;HOGAR;A;Proveedor 004;2285682;564;90;2260
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0050;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;3034629;664;90;2256
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0051;VODKA;LICORES Y TABACO;A;Proveedor 002;61570876;2081;90;2193
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0052;DESMANCHADORES;HOGAR;A;Proveedor 006;877059;639;90;2166
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0053;CREMAS DENTALES;CUIDADO PERSONAL;A;Proveedor 007;12401564;734;90;2156
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0054;ASEO MECANICO;HOGAR;A;Proveedor 003;870268;273;90;2100
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0055;LAVALOZA;HOGAR;A;Proveedor 008;2124832;1091;90;2020
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0056;CREMAS DENTALES;CUIDADO PERSONAL;A;Proveedor 007;12997732;1276;48;2014
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0057;CONDIMENTOS Y SAZONADORES;ALIMENTOS;A;Proveedor 009;78428;92;90;1979
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0058;MULTIVITAMINICOS;OTC;B;Proveedor 007;8338937;821;90;1918
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0059;MULTIVITAMINICOS;OTC;B;Proveedor 007;2149143;130;90;1899
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0060;WHISKY;LICORES Y TABACO;A;Proveedor 002;41680268;464;90;1860
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0061;WHISKY;LICORES Y TABACO;A;Proveedor 002;47699832;1912;90;1845
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0062;DESODORANTES;CUIDADO PERSONAL;A;Proveedor 010;2025042;220;90;1805
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0063;DESODORANTES;CUIDADO PERSONAL;A;Proveedor 010;3703915;413;90;1789
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0064;CONDIMENTOS Y SAZONADORES;ALIMENTOS;A;Proveedor 009;61122;57;90;1780
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0065;WHISKY;LICORES Y TABACO;A;Proveedor 002;21756490;1494;90;1705
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0066;MULTIVITAMINICOS;OTC;B;Proveedor 007;7339942;443;90;1683
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0067;APERITIVOS;LICORES Y TABACO;A;Proveedor 002;89312752;2647;90;1668
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0068;WHISKY;LICORES Y TABACO;A;Proveedor 002;85407311;2899;90;1646
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0069;PANITOS HUMEDOS BEBES Y NINOS;BEBES Y NINOS;B;Proveedor 011;3376410;654;90;1643
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0070;CREMAS DENTALES;CUIDADO PERSONAL;A;Proveedor 007;6990429;414;90;1640
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0071;ASEO MECANICO;HOGAR;A;Proveedor 003;1913708;458;90;1632
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0072;CREMAS Y TRATAMIENTOS CORPORALES;CUIDADO PERSONAL;A;Proveedor 010;2742641;129;90;1623
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0073;LIMPIADORES LIQUIDOS PISOS;HOGAR;A;Proveedor 006;1938046;656;90;1619
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0074;WHISKY;LICORES Y TABACO;A;Proveedor 002;341958;12;90;1616
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0075;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;696498;421;90;1590
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0076;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;1152455;388;90;1564
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0077;VODKA;LICORES Y TABACO;A;Proveedor 002;63706308;1172;90;1544
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0078;LIMPIADORES LIQUIDOS PISOS;HOGAR;A;Proveedor 006;626378;615;90;1535
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0079;TEQUILA;LICORES Y TABACO;A;Proveedor 002;97177541;1684;90;1503
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0080;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;3135028;1286;90;1466
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0081;CREMAS DENTALES;CUIDADO PERSONAL;A;Proveedor 007;8455742;661;90;1457
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0082;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;745080;361;90;1448
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0083;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;840026;387;90;1440
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0084;COLORACION;CUIDADO PERSONAL;A;Proveedor 005;4440733;679;90;1418
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0085;WHISKY;LICORES Y TABACO;A;Proveedor 002;5867823;345;90;1375
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0086;SUERO ORAL;OTC;B;Proveedor 012;2333663;404;90;1371
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0087;DESODORANTES;CUIDADO PERSONAL;A;Proveedor 010;4082940;440;90;1362
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0088;ASEO MECANICO;HOGAR;A;Proveedor 008;250040;108;90;1348
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0089;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;49544;13;90;1347
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0090;DESODORANTES;CUIDADO PERSONAL;A;Proveedor 010;2274236;243;90;1335
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0091;LAVALOZA;HOGAR;A;Proveedor 013;3646975;948;90;1329
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0092;DETERGENTES;HOGAR;A;Proveedor 006;2297686;341;90;1311
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0093;CREMAS DENTALES;CUIDADO PERSONAL;A;Proveedor 007;8856155;567;90;1301
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0094;LAVALOZA;HOGAR;A;Proveedor 013;273435;168;90;1296
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0095;COLORACION;CUIDADO PERSONAL;A;Proveedor 005;2941297;451;90;1288
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0096;PASABOCAS;DULCES Y PASABOCAS;B;Proveedor 014;51738;17;90;1266
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0097;GRANOLAS Y CEREALES LISTOS;ALIMENTOS;A;Proveedor 014;45813;18;90;1220
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0098;DESMANCHADORES;HOGAR;A;Proveedor 006;1327961;255;90;1194
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0099;WHISKY;LICORES Y TABACO;A;Proveedor 002;579673;39;90;1194
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0100;PASABOCAS;DULCES Y PASABOCAS;B;Proveedor 014;557582;183;90;1192
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0101;BETUN;HOGAR;A;Proveedor 006;1927983;482;90;1173
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0102;GRANOLAS Y CEREALES LISTOS;ALIMENTOS;A;Proveedor 014;126520;50;90;1164
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0103;ANALGESICOS;OTC;B;Proveedor 007;4884393;338;90;1155
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0104;COLORACION;CUIDADO PERSONAL;A;Proveedor 005;1609805;248;90;1154
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0105;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;5296643;728;90;1148
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0106;LAVALOZA;HOGAR;A;Proveedor 013;1367171;840;90;1139
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0107;COLORACION;CUIDADO PERSONAL;A;Proveedor 005;1006435;468;90;1126
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0108;ASEO MECANICO;HOGAR;A;Proveedor 003;979218;234;90;1077
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0109;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;584699;145;90;1055
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0110;CONDIMENTOS Y SAZONADORES;ALIMENTOS;A;Proveedor 009;202160;232;90;1046
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0111;WHISKY;LICORES Y TABACO;A;Proveedor 002;44892616;513;23;1034
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0112;SUERO ORAL;OTC;B;Proveedor 012;601291;104;90;1032
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0113;PANITOS HUMEDOS BEBES Y NINOS;BEBES Y NINOS;B;Proveedor 011;3681822;540;90;1015
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0114;SUERO ORAL;OTC;B;Proveedor 012;1136377;198;90;1014
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0115;JABON EN BARRA;HOGAR;A;Proveedor 015;676443;369;90;1014
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0116;COLORACION;CUIDADO PERSONAL;A;Proveedor 005;1931923;295;90;1000
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0117;ASEO MECANICO;HOGAR;A;Proveedor 008;1263718;560;90;990
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0118;CREMAS Y SPRAY PARA PEINAR;CUIDADO PERSONAL;A;Proveedor 005;4012724;510;90;973
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0119;LIMPIADORES LIQUIDOS PISOS;HOGAR;A;Proveedor 006;441011;433;90;969
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0120;COLORACION;CUIDADO PERSONAL;A;Proveedor 005;731828;341;90;964
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0121;ASEO MECANICO;HOGAR;A;Proveedor 008;420696;184;90;964
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0122;WHISKY;LICORES Y TABACO;A;Proveedor 002;77110420;797;90;949
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0123;DESMANCHADORES;HOGAR;A;Proveedor 006;1230691;279;90;939
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0124;DESODORANTES;CUIDADO PERSONAL;A;Proveedor 005;2264029;249;90;937
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0125;LAVALOZA;HOGAR;A;Proveedor 013;1206114;685;90;937
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0126;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;615303;197;90;929
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0127;DESMANCHADORES;HOGAR;A;Proveedor 006;869839;167;90;914
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0128;LIMPIADORES LIQUIDOS PISOS;HOGAR;A;Proveedor 006;357494;351;90;895
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0129;CAFE;ALIMENTOS;A;Proveedor 016;444547;26;90;893
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0130;WHISKY;LICORES Y TABACO;A;Proveedor 002;9832009;89;90;873
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0131;JABON EN BARRA;HOGAR;A;Proveedor 004;760018;408;90;869
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0132;ACEITES Y MANTECAS;ALIMENTOS;A;Proveedor 001;664867;60;90;864
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0133;COLORACION;CUIDADO PERSONAL;A;Proveedor 005;1149044;175;90;851
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0134;LAVALOZA;HOGAR;A;Proveedor 013;2423623;630;90;849
